ID Cliente,Score de riesgo,Probabilidad de default
229,530,0.17
230,311,0.134
231,693,0.082
232,865,0.081
233,845,0.149
234,713,0.401
235,801,0.202
236,947,0.465
237,529,0.037
238,655,0.294
239,723,0.159
240,799,0.153
241,577,0.225
242,779,0.221
243,319,0.093
244,514,0.15
245,793,0.444
246,417,0.188
247,860,0.343
248,930,0.038
249,735,0.108
250,749,0.393
251,958,0.053
252,697,0.372
253,562,0.188
254,635,0.398
255,821,0.155
256,961,0.034
257,432,0.206
258,503,0.282
259,803,0.308
260,835,0.058
261,954,0.325
262,515,0.353
263,533,0.36
264,866,0.295
265,653,0.26
266,701,0.299
267,982,0.102
268,784,0.186
269,689,0.038
270,472,0.233
271,806,0.292
272,443,0.362
273,546,0.614
274,739,0.371
275,840,0.419
276,619,0.218
277,684,0.261
278,935,0.587
279,984,0.261
280,533,0.32
281,664,0.546
282,837,0.601
283,896,0.377
284,861,0.327
285,797,0.44
286,966,0.157
287,911,0.063
288,718,0.448
289,891,0.245
290,840,0.451
291,434,0.262
292,361,0.085
293,370,0.576
294,944,0.212
295,416,0.338
296,809,0.157
297,819,0.143
298,499,0.496
299,854,0.45
300,991,0.212
301,849,0.168
302,636,0.39
303,483,0.328
304,795,0.205
305,729,0.136
306,579,0.454
307,341,0.098
308,599,0.345
309,815,0.046
310,663,0.406
311,418,0.093
312,376,0.297
313,422,0.133
314,733,0.174
315,701,0.396
316,649,0.265
317,967,0.26
318,712,0.189
319,628,0.112
320,402,0.149
321,640,0.19
322,913,0.063
323,344,0.264
324,644,0.242
325,709,0.233
326,799,0.298
327,881,0.096
328,348,0.308
329,418,0.398
330,701,0.768
331,767,0.14
332,829,0.022
333,346,0.099
334,300,0.238
335,460,0.243
336,594,0.606
337,923,0.248
338,322,0.144
339,569,0.116
340,775,0.483
341,592,0.217
342,882,0.289
343,887,0.167
344,798,0.127
345,976,0.405
346,786,0.072
347,711,0.423
348,678,0.384
349,920,0.252
350,991,0.254
351,811,0.099
352,956,0.104
353,464,0.409
354,313,0.443
355,790,0.314
356,543,0.172
357,734,0.408
358,868,0.168
359,303,0.139
360,513,0.117
361,348,0.025
362,380,0.116
363,846,0.303
364,480,0.569
365,971,0.245
366,676,0.368
367,778,0.5
368,516,0.371
369,565,0.325
370,924,0.109
371,489,0.251
372,301,0.463
373,874,0.229
374,774,0.119
375,759,0.047
376,931,0.489
377,699,0.273
378,430,0.074
379,516,0.227
380,829,0.14
381,530,0.449
382,531,0.203
383,715,0.144
384,423,0.16
385,861,0.334
386,476,0.34
387,814,0.39
388,371,0.365
389,671,0.307
390,424,0.144
391,682,0.161
392,304,0.191
393,484,0.333
394,383,0.027
395,964,0.802
396,322,0.066
397,949,0.627
398,460,0.321
399,372,0.284
400,396,0.118
401,885,0.266
402,838,0.145
403,462,0.288
404,361,0.29
405,701,0.304
406,562,0.626
407,498,0.147
408,513,0.394
409,807,0.155
410,326,0.177
411,879,0.396
412,494,0.34
413,738,0.611
414,622,0.183
415,644,0.312
416,909,0.325
417,501,0.21
418,750,0.319
419,647,0.318
420,310,0.355
421,734,0.462
422,331,0.064
423,447,0.392
424,944,0.133
425,568,0.574
426,933,0.111
427,397,0.195
428,535,0.637
429,942,0.472
430,551,0.607
431,867,0.059
432,501,0.441
433,548,0.082
434,672,0.272
435,475,0.183
436,404,0.307
437,544,0.41
438,524,0.283
439,962,0.192
440,738,0.379
441,610,0.23
442,808,0.139
443,353,0.379
444,680,0.315
445,620,0.435
446,518,0.067
447,768,0.024
448,703,0.308
449,646,0.108
450,975,0.545
451,788,0.073
452,658,0.511
453,356,0.572
454,840,0.116
455,386,0.492
456,677,0.095
457,378,0.612
458,662,0.435
459,607,0.279
460,388,0.398
461,990,0.23
462,586,0.164
463,895,0.274
464,522,0.191
465,955,0.264
466,463,0.372
467,594,0.185
468,950,0.359
469,959,0.421
470,611,0.516
471,773,0.295
472,469,0.205
473,346,0.066
474,305,0.284
475,846,0.179
476,370,0.262
477,592,0.266
478,477,0.397
479,422,0.054
480,820,0.051
481,862,0.127
482,626,0.157
483,875,0.354
484,832,0.668
485,304,0.171
486,305,0.228
487,342,0.259
488,581,0.464
489,865,0.222
490,430,0.35
491,950,0.105
492,514,0.202
493,324,0.493
494,876,0.13
495,559,0.351
496,735,0.239
497,682,0.336
498,717,0.125
499,774,0.154
500,408,0.389
501,827,0.198
502,953,0.023
503,924,0.173
504,885,0.385
505,864,0.185
506,417,0.449
507,485,0.243
508,874,0.069
509,440,0.408
510,600,0.712
511,525,0.469
512,524,0.255
513,482,0.154
514,460,0.186
515,361,0.335
516,696,0.118
517,892,0.485
518,696,0.256
519,315,0.08
520,528,0.43
521,737,0.457
522,713,0.662
523,908,0.356
524,659,0.093
525,951,0.278
526,429,0.314
527,954,0.42
528,991,0.186
529,462,0.18
530,650,0.044
531,777,0.308
532,934,0.438
533,337,0.158
534,597,0.182
535,531,0.275
536,818,0.05
537,867,0.116
538,467,0.219
539,364,0.121
540,493,0.115
541,751,0.216
542,904,0.154
543,469,0.443
544,530,0.483
545,580,0.574
546,305,0.468
547,563,0.474
548,352,0.004
549,318,0.127
550,564,0.242
551,460,0.248
552,459,0.461
553,322,0.094
554,461,0.177
555,642,0.337
556,715,0.505
557,684,0.147
558,306,0.13
559,835,0.203
560,429,0.18
561,555,0.367
562,549,0.124
563,638,0.242
564,917,0.119
565,655,0.182
566,611,0.075
567,782,0.322
568,331,0.01
569,888,0.263
570,392,0.389
571,821,0.244
572,333,0.298
573,922,0.334
574,588,0.17
575,643,0.29
576,908,0.564
577,807,0.094
578,612,0.21
579,961,0.306
580,503,0.249
581,521,0.43
582,331,0.104
583,936,0.229
584,919,0.163
585,728,0.137
586,301,0.243
587,806,0.329
588,761,0.107
589,482,0.238
590,358,0.352
591,588,0.294
592,395,0.08
593,804,0.393
594,916,0.425
595,510,0.342
596,757,0.278
597,870,0.201
598,328,0.341
599,502,0.346
600,411,0.244
601,664,0.233
602,422,0.259
603,602,0.381
604,996,0.601
605,869,0.518
606,554,0.248
607,528,0.237
608,640,0.379
609,864,0.168
610,641,0.179
611,637,0.4
612,557,0.403
613,359,0.126
614,528,0.243
615,639,0.301
616,731,0.063
617,417,0.136
618,325,0.299
619,639,0.237
620,961,0.227
621,470,0.695
622,552,0.247
623,831,0.274
624,648,0.495
625,603,0.236
626,676,0.222
627,650,0.407
628,872,0.034
629,450,0.157
630,529,0.26
631,635,0.354
632,574,0.263
633,503,0.314
634,527,0.458
635,568,0.1
636,478,0.183
637,556,0.414
638,980,0.323
639,814,0.245
640,307,0.383
641,635,0.365
642,918,0.195
643,339,0.513
644,730,0.122
645,999,0.099
646,629,0.284
647,542,0.089
648,464,0.391
649,779,0.343
650,582,0.431
651,394,0.144
652,430,0.257
653,508,0.075
654,821,0.403
655,840,0.442
656,959,0.359
657,877,0.442
658,780,0.295
659,823,0.287
660,824,0.345
661,663,0.37
662,722,0.141
663,913,0.185
664,984,0.427
665,512,0.454
666,468,0.329
667,507,0.331
668,726,0.425
669,873,0.556
670,820,0.268
671,936,0.112
672,973,0.348
673,318,0.456
674,785,0.384
675,386,0.281
676,829,0.261
677,536,0.343
678,473,0.429
679,403,0.219
680,536,0.508
681,937,0.352
682,860,0.052
683,401,0.22
684,885,0.309
685,470,0.724
686,437,0.109
687,896,0.206
688,977,0.188
689,337,0.148
690,690,0.11
691,916,0.284
692,716,0.223
693,323,0.142
694,731,0.353
695,586,0.249
696,381,0.123
697,554,0.346
698,834,0.411
699,626,0.037
700,797,0.142
701,883,0.457
702,929,0.206
703,698,0.236
704,849,0.52
705,455,0.229
706,426,0.239
707,576,0.169
708,326,0.321
709,867,0.408
710,936,0.111
711,320,0.263
712,825,0.102
713,540,0.391
714,406,0.351
715,881,0.612
716,839,0.521
717,520,0.21
718,913,0.117
719,366,0.22
720,935,0.496
721,541,0.342
722,823,0.149
723,695,0.619
724,502,0.283
725,519,0.326
726,990,0.461
727,718,0.579
728,525,0.174
729,513,0.093
730,658,0.172
731,800,0.055
732,770,0.155
733,318,0.049
734,650,0.442
735,614,0.128
736,975,0.191
737,513,0.056
738,791,0.238
739,521,0.374
740,568,0.107
741,383,0.182
742,343,0.035
743,887,0.364
744,460,0.143
745,676,0.086
746,607,0.335
747,416,0.369
748,901,0.268
749,638,0.025
750,949,0.098
751,906,0.221
752,966,0.511
753,624,0.025
754,304,0.503
755,720,0.217
756,370,0.554
757,403,0.016
758,355,0.17
759,606,0.117
760,795,0.088
761,469,0.412
762,440,0.373
763,333,0.566
764,655,0.24
765,717,0.413
766,352,0.248
767,302,0.286
768,629,0.372
769,918,0.52
770,910,0.286
771,991,0.256
772,945,0.327
773,448,0.315
774,805,0.101
775,600,0.309
776,432,0.214
777,558,0.283
778,575,0.186
779,360,0.096
780,971,0.168
781,446,0.187
782,954,0.136
783,965,0.411
784,795,0.196
785,922,0.537
786,901,0.107
787,860,0.153
788,715,0.602
789,430,0.04
790,527,0.074
791,393,0.541
792,976,0.073
793,920,0.34
794,871,0.436
795,397,0.208
796,486,0.57
797,892,0.156
798,853,0.149
799,962,0.574
800,724,0.141
801,884,0.169
802,838,0.269
803,892,0.109
804,473,0.162
805,924,0.362
806,826,0.461
807,784,0.164
808,468,0.112
809,884,0.159
810,878,0.222
811,729,0.285
812,431,0.112
813,423,0.539
814,473,0.369
815,686,0.137
816,440,0.043
817,947,0.483
818,739,0.287
819,913,0.392
820,671,0.687
821,586,0.185
822,390,0.023
823,508,0.367
824,846,0.487
825,873,0.604
826,451,0.134
827,876,0.18
828,520,0.409
829,599,0.161
830,654,0.194
831,862,0.324
832,919,0.315
833,985,0.37
834,491,0.288
835,709,0.435
836,656,0.269
837,978,0.201
838,543,0.091
839,357,0.318
840,325,0.252
841,785,0.219
842,416,0.265
843,541,0.259
844,529,0.081
845,392,0.398
846,520,0.595
847,526,0.231
848,868,0.219
849,881,0.261
850,884,0.111
851,902,0.042
852,425,0.453
853,589,0.331
854,798,0.345
855,771,0.068
856,821,0.531
857,321,0.267
858,456,0.173
859,970,0.393
860,561,0.097
861,409,0.19
862,800,0.133
863,665,0.115
864,312,0.32
865,362,0.136
866,323,0.578
867,652,0.437
868,639,0.69
869,318,0.113
870,387,0.419
871,880,0.213
872,449,0.224
873,391,0.621
874,444,0.041
875,474,0.069
876,690,0.156
877,444,0.107
878,759,0.275
879,434,0.437
880,840,0.145
881,536,0.118
882,929,0.443
883,891,0.049
884,641,0.439
885,886,0.193
886,998,0.308
887,340,0.116
888,545,0.326
889,758,0.388
890,869,0.111
891,923,0.162
892,503,0.583
893,851,0.221
894,772,0.406
895,357,0.329
896,488,0.107
897,984,0.231
898,888,0.307
899,347,0.051
900,389,0.405
901,822,0.446
902,867,0.072
903,787,0.397
904,844,0.321
905,479,0.262
906,415,0.527
907,327,0.116
908,414,0.293
909,519,0.095
910,478,0.359
911,693,0.09
912,893,0.153
913,979,0.117
914,365,0.313
915,321,0.488
916,635,0.237
917,400,0.051
918,651,0.372
919,475,0.446
920,571,0.262
921,348,0.123
922,653,0.076
923,912,0.499
924,874,0.226
925,611,0.053
926,653,0.165
927,336,0.369
928,648,0.241
929,653,0.158
930,843,0.285
931,663,0.093
932,962,0.114
933,885,0.175
934,883,0.106
935,576,0.1
936,502,0.21
937,808,0.821
938,914,0.55
939,474,0.571
940,510,0.326
941,552,0.278
942,653,0.43
943,617,0.387
944,665,0.243
945,453,0.431
946,595,0.419
947,955,0.397
948,830,0.255
949,840,0.224
950,664,0.471
951,1000,0.48
952,975,0.071
953,640,0.629
954,565,0.292
955,474,0.175
956,983,0.522
957,807,0.062
958,927,0.354
959,663,0.046
960,550,0.112
961,818,0.169
962,785,0.498
963,496,0.303
964,574,0.281
965,665,0.176
966,844,0.319
967,963,0.253
968,834,0.414
969,554,0.565
970,385,0.429
971,480,0.348
972,448,0.155
973,637,0.105
974,913,0.176
975,390,0.307
976,848,0.088
977,348,0.242
978,338,0.271
979,841,0.124
980,854,0.619
981,505,0.268
982,525,0.087
983,737,0.11
984,331,0.236
985,937,0.072
986,394,0.384
987,732,0.152
988,301,0.376
989,810,0.756
990,602,0.115
991,786,0.373
992,910,0.351
993,834,0.103
994,689,0.273
995,596,0.51
996,811,0.13
997,883,0.139
998,978,0.037
999,524,0.172
1000,949,0.304
1001,509,0.228
1002,411,0.145
1003,802,0.245
1004,861,0.536
1005,630,0.211
1006,691,0.315
1007,812,0.267
1008,750,0.506
1009,582,0.473
1010,664,0.046
1011,488,0.057
1012,424,0.201
1013,987,0.198
1014,786,0.232
1015,950,0.237
1016,913,0.428
1017,610,0.439
1018,707,0.386
1019,617,0.039
1020,446,0.15
1021,800,0.241
1022,651,0.225
1023,657,0.18
1024,572,0.04
1025,809,0.614
1026,311,0.086
1027,442,0.046
1028,466,0.132
1029,568,0.336
1030,393,0.412
1031,405,0.329
1032,612,0.298
1033,903,0.332
1034,535,0.275
1035,359,0.593
1036,995,0.533
1037,708,0.187
1038,659,0.433
1039,532,0.227
1040,938,0.383
1041,400,0.362
1042,946,0.236
1043,879,0.182
1044,386,0.275
1045,407,0.219
1046,753,0.14
1047,948,0.506
1048,676,0.357
1049,686,0.321
1050,362,0.038
1051,529,0.331
1052,674,0.194
1053,537,0.204
1054,546,0.506
1055,685,0.637
1056,970,0.11
1057,337,0.571
1058,543,0.279
1059,818,0.201
1060,659,0.126
1061,693,0.104
1062,376,0.54
1063,742,0.086
1064,336,0.203
1065,708,0.615
1066,649,0.088
1067,877,0.241
1068,911,0.805
1069,560,0.156
1070,762,0.612
1071,853,0.128
1072,747,0.517
1073,348,0.479
1074,370,0.185
1075,545,0.379
1076,301,0.638
1077,361,0.182
1078,838,0.406
1079,641,0.236
1080,366,0.224
1081,677,0.17
1082,956,0.6
1083,356,0.446
1084,585,0.378
1085,755,0.123
1086,754,0.299
1087,492,0.075
1088,925,0.287
1089,804,0.409
1090,421,0.517
1091,778,0.365
1092,402,0.39
1093,966,0.227
1094,885,0.255
1095,653,0.14
1096,474,0.083
1097,313,0.135
1098,978,0.375
1099,866,0.144
1100,769,0.296
1101,325,0.187
1102,343,0.473
1103,880,0.185
1104,337,0.659
1105,823,0.264
1106,404,0.308
1107,663,0.559
1108,789,0.339
1109,572,0.32
1110,387,0.21
1111,950,0.371
1112,957,0.26
1113,975,0.192
1114,638,0.124
1115,625,0.418
1116,898,0.161
1117,666,0.017
1118,939,0.194
1119,421,0.251
1120,858,0.384
1121,619,0.641
1122,664,0.147
1123,923,0.176
1124,602,0.074
1125,374,0.129
1126,750,0.046
1127,680,0.128
1128,597,0.446
1129,604,0.488
1130,329,0.612
1131,307,0.33
1132,720,0.561
1133,307,0.099
1134,490,0.199
1135,427,0.393
1136,822,0.189
1137,555,0.274
1138,532,0.424
1139,676,0.421
1140,997,0.038
1141,932,0.07
1142,978,0.346
1143,955,0.121
1144,651,0.12
1145,912,0.399
1146,729,0.122
1147,321,0.276
1148,568,0.119
1149,381,0.758
1150,981,0.777
1151,810,0.37
1152,312,0.174
1153,496,0.053
1154,906,0.22
1155,566,0.301
1156,350,0.296
1157,487,0.189
1158,602,0.324
1159,303,0.113
1160,642,0.162
1161,330,0.338
1162,929,0.169
1163,501,0.048
1164,897,0.167
1165,841,0.268
1166,456,0.41
1167,342,0.356
1168,384,0.251
1169,705,0.305
1170,987,0.21
1171,659,0.286
1172,731,0.665
1173,449,0.265
1174,618,0.493
1175,559,0.206
1176,786,0.359
1177,302,0.267
1178,636,0.634
1179,638,0.191
1180,893,0.47
1181,606,0.091
1182,965,0.131
1183,590,0.557
1184,681,0.151
1185,473,0.268
1186,323,0.226
1187,301,0.292
1188,998,0.192
1189,463,0.305
1190,799,0.247
1191,856,0.69
1192,650,0.303
1193,393,0.27
1194,503,0.458
1195,422,0.13
1196,336,0.332
1197,929,0.302
1198,439,0.093
1199,933,0.533
1200,528,0.471
1201,718,0.402
1202,792,0.458
1203,627,0.205
1204,454,0.331
1205,655,0.105
1206,306,0.35
1207,814,0.299
1208,303,0.272
1209,344,0.286
1210,504,0.101
1211,500,0.371
1212,549,0.289
1213,511,0.377
1214,432,0.212
1215,985,0.225
1216,368,0.353
1217,590,0.312
1218,954,0.236
1219,828,0.104
1220,631,0.104
1221,729,0.399
1222,744,0.645
1223,470,0.032
1224,677,0.173
1225,505,0.481
1226,902,0.464
1227,925,0.159
1228,321,0.054
1229,436,0.176
1230,602,0.33
1231,302,0.468
1232,735,0.443
1233,312,0.66
1234,813,0.266
1235,666,0.31
1236,431,0.515
1237,984,0.13
1238,682,0.236
1239,563,0.309
1240,853,0.088
1241,444,0.493
1242,692,0.33
1243,793,0.43
1244,744,0.285
1245,624,0.565
1246,759,0.126
1247,865,0.324
1248,971,0.095
1249,522,0.436
1250,854,0.377
1251,880,0.307
1252,399,0.403
1253,507,0.361
1254,571,0.311
1255,460,0.213
1256,965,0.579
1257,388,0.348
1258,993,0.67
1259,639,0.114
1260,346,0.109
1261,417,0.084
1262,975,0.144
1263,470,0.423
1264,716,0.295
1265,816,0.577
1266,869,0.371
1267,735,0.401
1268,499,0.641
1269,758,0.19
1270,733,0.172
1271,710,0.146
1272,949,0.223
1273,678,0.115
1274,447,0.624
1275,518,0.165
1276,476,0.198
1277,765,0.304
1278,462,0.118
1279,583,0.067
1280,781,0.082
1281,709,0.405
1282,997,0.064
1283,305,0.282
1284,349,0.262
1285,741,0.132
1286,345,0.197
1287,516,0.224
1288,508,0.149
1289,645,0.143
1290,704,0.535
1291,907,0.041
1292,324,0.094
1293,651,0.32
1294,424,0.218
1295,801,0.155
1296,362,0.342
1297,638,0.227
1298,621,0.25
1299,462,0.247
1300,635,0.155
1301,763,0.202
1302,588,0.27
1303,542,0.093
1304,605,0.013
1305,451,0.616
1306,394,0.167
1307,706,0.093
1308,636,0.432
1309,396,0.297
1310,655,0.43
1311,362,0.086
1312,739,0.032
1313,618,0.654
1314,850,0.104
1315,915,0.321
1316,382,0.536
1317,709,0.092
1318,404,0.079
1319,478,0.216
1320,871,0.447
1321,637,0.609
1322,505,0.369
1323,509,0.318
1324,933,0.36
1325,935,0.141
1326,652,0.448
1327,689,0.389
1328,946,0.462
1329,999,0.247
1330,744,0.077
1331,944,0.361
1332,902,0.363
1333,401,0.109
1334,460,0.616
1335,656,0.134
1336,936,0.326
1337,442,0.306
1338,848,0.368
1339,712,0.064
1340,558,0.062
1341,965,0.141
1342,915,0.177
1343,420,0.23
1344,945,0.102
1345,398,0.527
1346,515,0.26
1347,737,0.3
1348,771,0.222
1349,702,0.52
1350,312,0.065
1351,612,0.248
1352,534,0.381
1353,382,0.449
1354,542,0.11
1355,640,0.245
1356,523,0.271
1357,484,0.258
1358,985,0.516
1359,712,0.757
1360,396,0.5
1361,620,0.607
1362,426,0.183
1363,514,0.238
1364,839,0.458
1365,790,0.102
1366,349,0.086
1367,567,0.175
1368,382,0.508
1369,543,0.324
1370,524,0.429
1371,829,0.143
1372,662,0.091
1373,410,0.052
1374,666,0.06
1375,689,0.062
1376,623,0.307
1377,887,0.143
1378,322,0.043
1379,455,0.116
1380,502,0.351
1381,851,0.067
1382,397,0.531
1383,603,0.447
1384,461,0.257
1385,903,0.078
1386,741,0.414
1387,973,0.408
1388,356,0.193
1389,840,0.321
1390,935,0.089
1391,735,0.501
1392,653,0.265
1393,766,0.515
1394,819,0.195
1395,406,0.617
1396,903,0.207
1397,969,0.246
1398,642,0.611
1399,383,0.079
1400,709,0.221
1401,338,0.312
1402,332,0.193
1403,477,0.373
1404,683,0.202
1405,999,0.271
1406,514,0.129
1407,500,0.532
1408,696,0.287
1409,983,0.095
1410,506,0.392
1411,587,0.01
1412,870,0.319
1413,535,0.235
1414,892,0.476
1415,728,0.274
1416,988,0.446
1417,851,0.303
1418,381,0.302
1419,461,0.125
1420,412,0.525
1421,900,0.165
1422,823,0.311
1423,792,0.228
1424,698,0.613
1425,771,0.282
1426,564,0.254
1427,388,0.14
1428,666,0.407
1429,515,0.232
1430,860,0.264
1431,569,0.26
1432,871,0.195
1433,755,0.54
1434,636,0.26
1435,598,0.416
1436,513,0.226
1437,893,0.668
1438,363,0.116
1439,929,0.389
1440,788,0.402
1441,627,0.423
1442,835,0.164
1443,685,0.429
1444,614,0.271
1445,913,0.5
1446,717,0.128
1447,611,0.658
1448,759,0.075
1449,669,0.105
1450,304,0.436
1451,408,0.561
1452,482,0.063
1453,930,0.23
1454,591,0.377
1455,994,0.231
1456,949,0.442
1457,384,0.066
1458,473,0.094
1459,863,0.503
1460,943,0.433
1461,483,0.259
1462,566,0.364
1463,769,0.095
1464,404,0.364
1465,477,0.664
1466,1000,0.175
1467,962,0.309
1468,681,0.117
1469,412,0.239
1470,585,0.16
1471,422,0.102
1472,387,0.187
1473,836,0.125
1474,841,0.361
1475,978,0.269
1476,885,0.372
1477,884,0.787
1478,719,0.274
1479,923,0.124
1480,991,0.223
1481,816,0.08
1482,555,0.174
1483,953,0.56
1484,831,0.472
1485,399,0.249
1486,580,0.452
1487,468,0.431
1488,665,0.23
1489,682,0.02
1490,624,0.28
1491,532,0.304
1492,390,0.24
1493,327,0.03
1494,343,0.27
1495,952,0.194
1496,896,0.237
1497,610,0.403
1498,672,0.438
1499,596,0.325
1500,343,0.34
1501,310,0.343
1502,680,0.157
1503,804,0.342
1504,498,0.048
1505,768,0.197
1506,420,0.237
1507,313,0.289
1508,776,0.273
1509,707,0.213
1510,875,0.132
1511,963,0.142
1512,394,0.357
1513,567,0.645
1514,492,0.403
1515,743,0.094
1516,357,0.115
1517,393,0.331
1518,597,0.15
1519,812,0.303
1520,705,0.308
1521,661,0.493
1522,627,0.265
1523,505,0.172
1524,492,0.286
1525,523,0.312
1526,337,0.173
1527,747,0.504
1528,792,0.106
1529,410,0.12
1530,551,0.666
1531,771,0.398
1532,791,0.258
1533,895,0.425
1534,790,0.601
1535,663,0.386
1536,459,0.236
1537,811,0.216
1538,966,0.17
1539,397,0.523
1540,1000,0.398
1541,897,0.166
1542,873,0.226
1543,558,0.66
1544,380,0.232
1545,761,0.183
1546,658,0.596
1547,767,0.271
1548,665,0.718
1549,394,0.312
1550,788,0.342
1551,586,0.666
1552,981,0.335
1553,869,0.356
1554,342,0.182
1555,971,0.172
1556,457,0.46
1557,534,0.412
1558,774,0.087
1559,711,0.146
1560,693,0.427
1561,443,0.451
1562,309,0.041
1563,810,0.188
1564,629,0.307
1565,567,0.033
1566,780,0.387
1567,455,0.223
1568,829,0.132
1569,583,0.32
1570,790,0.383
1571,569,0.31
1572,563,0.146
1573,777,0.128
1574,655,0.378
1575,558,0.166
1576,501,0.149
1577,436,0.611
1578,346,0.467
1579,362,0.135
1580,376,0.253
1581,932,0.3
1582,754,0.337
1583,312,0.396
1584,689,0.458
1585,757,0.56
1586,990,0.508
1587,968,0.542
1588,827,0.111
1589,767,0.122
1590,640,0.068
1591,354,0.21
1592,712,0.215
1593,633,0.273
1594,610,0.162
1595,487,0.297
1596,980,0.219
1597,820,0.034
1598,305,0.099
1599,913,0.251
1600,712,0.139
1601,957,0.092
1602,579,0.144
1603,350,0.106
1604,527,0.364
1605,576,0.292
1606,894,0.318
1607,617,0.247
1608,646,0.457
1609,416,0.411
1610,374,0.26
1611,773,0.313
1612,672,0.164
1613,609,0.376
1614,470,0.356
1615,962,0.202
1616,539,0.186
1617,932,0.144
1618,451,0.073
1619,375,0.541
1620,941,0.292
1621,550,0.168
1622,559,0.253
1623,616,0.347
1624,425,0.177
1625,847,0.124
1626,852,0.387
1627,658,0.525
1628,465,0.049
1629,637,0.193
1630,954,0.212
1631,652,0.142
1632,713,0.127
1633,324,0.551
1634,829,0.254
1635,931,0.336
1636,801,0.725
1637,652,0.105
1638,895,0.403
1639,789,0.318
1640,748,0.244
1641,781,0.459
1642,628,0.151
1643,876,0.264
1644,666,0.262
1645,838,0.047
1646,387,0.552
1647,708,0.113
1648,535,0.539
1649,349,0.286
1650,482,0.351
1651,693,0.299
1652,485,0.361
1653,388,0.222
1654,385,0.293
1655,915,0.451
1656,921,0.071
1657,419,0.218
1658,387,0.192
1659,355,0.679
1660,454,0.135
