ID Cliente,Nº Productos,Saldo Promedio,Fecha Alta,Activo (Sí/No)
112,3,193164.75,2021-09-10,Sí
113,2,147704.63,2022-11-14,Sí
114,3,191586.33,2019-07-08,No
115,1,75576.74,2015-10-13,Sí
116,4,78064.73,2021-07-20,Sí
117,2,167043.84,2022-04-12,Sí
118,3,219240.54,2019-04-10,Sí
119,5,242754.28,2022-07-18,No
120,4,91920.3,2018-11-06,Sí
121,2,201172.87,2018-10-23,Sí
122,5,214367.39,2019-09-20,Sí
123,5,159561.58,2020-04-19,Sí
124,3,93422.05,2019-05-31,Sí
125,2,158581.26,2021-09-16,No
126,3,150267.74,2015-06-05,Sí
127,1,155566.12,2021-09-16,Sí
128,5,158622.45,2023-07-03,Sí
129,1,213293.97,2021-05-23,Sí
130,3,50819.56,2017-05-30,Sí
131,4,98150.55,2023-11-29,Sí
132,5,150640.41,2018-12-07,Sí
133,4,77998.66,2021-10-23,Sí
134,2,244756.75,2015-07-19,Sí
135,5,73156.06,2016-12-07,No
136,1,122710.93,2016-04-12,Sí
137,4,220567.61,2022-06-15,Sí
138,2,29215.28,2024-04-12,Sí
139,5,206965.12,2024-05-11,Sí
140,2,147042.01,2023-04-01,Sí
141,1,17632.49,2016-04-07,No
142,5,226699.09,2022-08-08,Sí
143,2,19407.24,2016-01-04,Sí
144,3,133652.27,2019-08-25,Sí
145,5,21767.5,2021-10-14,Sí
146,5,27088.02,2020-09-27,Sí
147,5,222929.04,2022-08-08,Sí
148,5,193798.13,2016-06-30,Sí
149,3,57265.88,2019-10-02,Sí
150,1,158912.31,2018-09-21,Sí
151,3,200723.1,2017-02-25,Sí
152,3,223501.75,2022-02-01,Sí
153,2,122393.66,2016-04-09,Sí
154,4,225399.97,2020-01-02,No
155,4,131884.02,2019-06-08,Sí
156,2,175174.73,2020-02-12,Sí
157,3,244967.05,2021-04-28,No
158,2,66628.43,2018-11-12,Sí
159,5,50445.11,2016-05-28,Sí
160,2,92084.52,2022-11-06,No
161,2,49455.77,2025-01-02,Sí
162,5,78199.07,2021-04-04,No
163,4,188316.48,2018-03-31,Sí
164,5,124605.77,2017-09-04,Sí
165,1,100009.91,2017-03-27,Sí
166,2,98493.76,2024-01-10,No
167,2,56687.19,2018-02-17,Sí
168,4,117378.75,2024-06-14,Sí
169,3,159912.53,2022-04-10,Sí
170,5,43397.16,2021-11-03,Sí
171,3,243475.09,2015-09-12,Sí
172,1,116387.48,2023-09-28,No
173,5,237510.62,2020-07-31,Sí
174,1,42318.14,2019-01-08,Sí
175,1,194131.83,2024-12-04,Sí
176,1,158233.13,2024-05-11,Sí
177,5,206815.39,2024-04-09,Sí
178,5,154162.7,2022-04-17,Sí
179,4,241080.79,2024-02-18,Sí
180,2,160463.64,2020-04-25,Sí
181,3,198304.99,2018-06-12,Sí
182,3,220619.63,2019-10-29,Sí
183,1,181500.03,2015-12-07,Sí
184,5,135816.8,2017-03-01,Sí
185,5,75476.1,2017-09-09,Sí
186,1,215078.23,2016-09-01,Sí
187,2,125338.78,2018-12-19,Sí
188,3,158969.97,2020-05-29,Sí
189,4,29014.37,2025-04-28,No
190,2,129364.32,2024-02-16,Sí
191,5,177557.83,2016-02-17,Sí
192,1,150177.26,2021-07-21,Sí
193,3,117653.17,2021-05-23,Sí
194,1,63622.56,2017-01-26,Sí
195,5,84320.85,2019-12-04,No
196,1,178149.85,2020-06-01,Sí
197,3,63805.77,2022-07-18,Sí
198,1,159214.39,2024-03-22,Sí
199,3,151537.03,2023-04-04,No
200,1,242900.2,2016-06-21,Sí
201,1,24587.64,2018-08-12,Sí
202,3,35949.43,2019-01-03,No
203,1,131460.03,2020-07-25,Sí
204,2,136506.36,2021-03-31,Sí
205,4,19582.64,2024-07-11,Sí
206,2,208205.3,2020-02-13,No
207,4,128733.64,2018-02-21,No
208,2,93194.5,2016-05-31,Sí
209,4,86524.9,2024-11-01,Sí
210,1,216737.72,2021-07-29,Sí
211,3,57215.89,2016-11-11,Sí
212,3,48500.25,2015-11-11,Sí
213,5,61162.85,2024-02-03,Sí
214,4,160005.41,2025-05-27,Sí
215,5,204623.41,2019-07-16,Sí
216,5,89434.89,2023-02-22,Sí
217,4,51630.88,2021-03-22,No
218,3,60206.6,2017-05-11,Sí
219,4,158604.11,2015-09-10,Sí
220,1,69048.45,2017-03-29,Sí
221,5,220547.26,2018-10-10,Sí
222,5,34933.93,2024-07-11,Sí
223,4,17768.45,2020-12-14,Sí
224,5,31210.78,2025-02-19,Sí
225,3,212954.35,2023-04-07,Sí
226,5,166295.08,2018-02-01,Sí
227,4,239858.71,2018-08-01,No
228,3,90711.17,2020-10-03,Sí
229,3,61042.75,2023-06-03,Sí
230,5,144874.06,2024-10-21,No
231,4,139078.79,2025-03-01,Sí
232,5,151845.76,2023-01-17,Sí
233,1,93408.13,2023-10-02,Sí
234,1,11415.27,2018-01-10,Sí
235,3,18407.6,2020-02-26,Sí
236,5,169318.35,2015-08-02,Sí
237,1,135581.93,2015-11-20,Sí
238,2,207042.7,2021-12-06,Sí
239,1,82098.37,2018-11-14,Sí
240,5,205713.34,2019-02-20,Sí
241,5,112117.94,2017-07-20,Sí
242,1,33207.61,2016-11-08,Sí
243,5,244698.78,2018-11-07,Sí
244,5,132864.62,2018-06-27,Sí
245,2,161074.84,2020-05-18,Sí
246,3,170991.32,2018-04-09,No
247,5,96978.94,2018-04-15,Sí
248,4,189406.8,2016-07-11,Sí
249,3,218863.95,2015-07-10,Sí
250,3,102924.87,2024-06-29,No
251,4,167680.21,2022-04-17,Sí
252,1,191709.72,2020-12-19,No
253,2,55630.22,2020-12-13,No
254,5,89823.06,2017-01-22,Sí
255,1,36111.0,2021-04-27,Sí
256,4,154530.03,2016-09-13,Sí
257,2,202225.05,2022-03-29,Sí
258,2,156601.28,2023-02-08,Sí
259,2,53148.12,2021-01-30,Sí
260,4,141128.44,2023-02-06,Sí
261,1,210384.2,2022-04-07,Sí
262,5,82653.95,2025-05-05,Sí
263,2,209836.36,2018-02-21,Sí
264,2,198309.59,2020-04-07,Sí
265,1,15217.79,2017-10-26,Sí
266,2,67469.16,2021-12-31,Sí
267,2,140306.18,2021-12-27,Sí
268,4,182228.17,2020-08-08,Sí
269,3,221327.33,2021-06-26,Sí
270,1,163850.16,2022-03-20,Sí
271,1,101282.6,2017-10-22,Sí
272,1,54310.53,2023-11-02,No
273,4,192408.61,2019-03-26,Sí
274,4,59627.57,2021-02-28,Sí
275,5,176903.33,2021-08-24,Sí
276,4,53490.79,2022-09-09,Sí
277,1,31852.92,2018-04-06,Sí
278,5,70264.05,2018-07-02,No
279,3,78383.15,2019-09-26,Sí
280,2,165330.19,2021-08-01,Sí
281,2,48612.01,2021-04-06,Sí
282,5,233273.66,2024-10-13,Sí
283,3,143046.8,2015-10-24,No
284,2,127823.62,2022-01-05,Sí
285,5,114326.68,2022-02-11,Sí
286,4,145984.32,2024-05-31,No
287,1,15387.27,2016-08-18,No
288,3,247620.73,2018-09-09,No
289,2,143805.85,2024-11-05,Sí
290,1,18446.8,2020-08-24,Sí
291,5,151594.63,2015-12-08,Sí
292,2,114898.9,2024-08-30,Sí
293,1,15769.05,2024-04-14,Sí
294,4,231862.9,2024-02-14,Sí
295,3,12536.05,2024-04-24,No
296,5,148689.2,2021-12-13,Sí
297,2,240829.78,2016-12-10,Sí
298,4,67025.08,2016-01-10,Sí
299,3,71002.98,2021-08-01,Sí
300,3,10101.55,2024-03-29,Sí
301,4,25924.28,2021-03-19,Sí
302,2,20773.22,2022-07-23,No
303,3,207437.51,2019-03-19,Sí
304,5,210817.02,2017-11-30,Sí
305,1,184408.02,2022-03-22,Sí
306,5,94658.8,2019-06-01,Sí
307,3,207101.07,2017-05-08,Sí
308,1,139545.88,2022-11-02,Sí
309,4,83034.47,2019-09-10,Sí
310,1,114946.42,2021-04-14,Sí
311,1,25784.26,2022-09-10,Sí
312,1,236778.08,2017-12-22,No
313,3,158587.94,2015-10-20,Sí
314,2,185496.19,2021-03-18,Sí
315,3,172380.01,2025-05-24,Sí
316,2,170260.0,2019-08-11,Sí
317,4,14142.64,2019-05-14,Sí
318,4,136089.11,2021-06-23,Sí
319,4,207210.45,2018-08-30,Sí
320,4,20684.52,2019-02-11,Sí
321,4,239479.76,2019-08-19,No
322,5,111798.32,2017-01-28,No
323,3,79574.92,2020-07-09,Sí
324,2,137637.13,2018-11-02,Sí
325,4,202291.41,2018-11-10,Sí
326,5,123941.21,2024-09-10,Sí
327,5,164825.36,2019-09-25,Sí
328,5,129979.45,2019-04-26,No
329,3,161505.34,2021-03-19,No
330,4,43127.42,2024-10-23,Sí
331,5,19279.21,2020-09-15,Sí
332,5,42856.34,2023-09-04,Sí
333,4,78601.15,2022-01-20,Sí
334,3,70805.45,2017-08-05,Sí
335,5,157642.08,2024-02-08,Sí
336,2,119413.46,2022-03-30,No
337,1,19314.88,2019-02-12,Sí
338,1,18367.82,2016-11-28,Sí
339,1,31741.12,2022-10-24,Sí
340,3,94739.48,2016-09-03,No
341,5,11483.91,2018-09-05,Sí
342,1,128556.94,2019-10-26,Sí
343,1,96560.72,2021-11-03,Sí
344,4,143305.91,2023-03-15,No
345,5,182998.05,2023-06-03,Sí
346,5,70233.48,2020-10-08,Sí
347,4,47700.08,2019-09-30,Sí
348,5,76732.85,2021-04-16,Sí
349,2,10423.16,2022-12-09,No
350,3,38803.11,2021-04-06,Sí
351,4,190199.29,2018-06-11,Sí
352,1,63473.64,2017-07-27,No
353,5,248631.91,2018-09-25,Sí
354,2,50279.57,2019-01-10,No
355,2,199305.21,2024-01-06,Sí
356,3,179210.67,2017-10-26,Sí
357,2,87311.71,2018-12-03,Sí
358,5,89377.39,2020-08-17,Sí
359,5,145252.38,2019-06-26,No
360,2,214569.78,2024-10-20,No
361,5,102684.87,2018-11-25,Sí
362,5,24683.17,2023-01-17,Sí
363,1,99860.6,2024-09-26,Sí
364,4,59755.04,2024-10-27,Sí
365,5,235409.68,2022-04-02,No
366,5,177345.84,2019-03-18,Sí
367,3,22199.84,2016-03-08,No
368,4,80317.25,2015-11-21,No
369,4,22051.83,2018-05-18,Sí
370,4,209204.0,2019-06-27,No
371,2,227511.14,2019-09-19,No
372,1,36947.11,2017-02-07,Sí
373,1,115669.61,2016-08-09,Sí
374,3,233651.99,2015-12-01,Sí
375,4,44850.8,2024-12-25,Sí
376,4,80056.86,2021-06-17,Sí
377,5,83025.92,2019-07-01,Sí
378,2,17213.99,2025-05-25,Sí
379,2,18705.58,2024-06-20,No
380,3,238670.28,2021-12-30,Sí
381,1,147062.23,2021-08-05,Sí
382,4,83595.6,2023-05-09,Sí
383,3,100881.92,2024-11-14,No
384,2,181562.3,2020-03-09,No
385,2,97964.13,2019-07-15,Sí
386,2,64662.5,2021-11-22,No
387,4,34440.96,2020-04-11,Sí
388,4,184943.92,2025-04-24,Sí
389,4,53335.6,2025-05-24,Sí
390,5,26715.58,2018-06-16,No
391,1,112469.07,2019-07-15,No
392,2,19497.03,2016-04-11,Sí
393,2,241599.53,2016-02-11,Sí
394,5,160550.31,2021-05-27,Sí
395,2,46647.23,2025-03-09,Sí
396,2,51388.98,2019-09-19,Sí
397,4,146758.84,2017-11-01,Sí
398,4,95575.78,2018-11-24,Sí
399,1,195824.02,2018-03-24,Sí
400,2,140993.56,2023-04-18,Sí
401,3,114000.13,2021-06-20,Sí
402,2,241115.26,2018-10-15,Sí
403,2,103774.97,2018-09-29,No
404,1,106146.62,2021-05-28,Sí
405,3,169785.38,2019-12-29,Sí
406,2,204274.86,2016-03-26,Sí
407,3,160291.6,2019-05-03,Sí
408,4,177666.45,2020-05-09,Sí
409,4,99503.58,2016-06-07,No
410,3,125079.24,2016-10-24,Sí
411,2,57288.42,2022-03-11,Sí
412,3,173259.16,2024-07-01,Sí
413,3,63148.47,2022-10-26,No
414,4,10301.63,2021-06-05,Sí
415,3,234102.91,2022-09-16,No
416,5,83443.66,2018-06-15,Sí
417,5,57191.69,2017-03-15,Sí
418,4,74355.22,2017-08-18,Sí
419,2,89307.45,2016-11-02,Sí
420,2,123891.14,2020-08-15,Sí
421,4,26644.4,2022-11-16,Sí
422,2,22641.56,2018-04-06,Sí
423,1,80298.58,2024-09-20,Sí
424,5,80983.87,2017-06-04,Sí
425,1,38235.09,2024-12-10,Sí
426,1,107149.98,2025-02-12,No
427,1,78166.88,2022-06-24,Sí
428,4,16253.33,2020-11-12,Sí
429,1,222572.99,2021-02-02,No
430,3,222644.56,2023-04-03,No
431,2,60203.74,2023-10-23,Sí
432,4,49089.33,2024-11-21,Sí
433,3,141350.26,2024-04-10,No
434,3,161380.84,2024-01-10,Sí
435,5,239810.21,2023-01-11,Sí
436,5,100563.63,2016-06-15,Sí
437,3,158368.08,2020-03-05,Sí
438,5,220763.45,2024-03-21,No
439,2,117988.91,2024-09-26,Sí
440,2,39362.98,2021-02-06,Sí
441,5,100587.35,2016-01-08,Sí
442,1,42776.06,2015-12-06,Sí
443,3,13993.47,2019-10-05,Sí
444,2,190372.73,2019-04-18,Sí
445,5,67221.69,2024-02-22,Sí
446,5,10481.69,2025-03-26,Sí
447,2,219383.77,2023-05-03,Sí
448,2,116509.32,2018-07-05,Sí
449,1,67326.37,2022-02-17,Sí
450,5,73069.59,2018-09-17,Sí
451,5,67729.09,2015-08-14,Sí
452,4,56693.48,2019-05-05,No
453,1,211894.29,2019-07-04,Sí
454,2,50879.59,2023-04-18,No
455,2,144845.12,2015-10-28,Sí
456,3,28556.86,2025-05-28,Sí
457,2,237885.13,2021-07-22,Sí
458,5,154795.34,2020-04-03,Sí
459,2,226756.6,2021-10-27,Sí
460,5,105490.67,2018-09-08,Sí
461,5,204561.29,2019-05-12,Sí
462,1,214877.08,2022-01-21,Sí
463,2,178707.83,2018-02-08,No
464,1,32307.39,2019-09-05,Sí
465,5,13859.22,2020-05-10,Sí
466,2,50454.32,2018-08-20,Sí
467,2,38343.22,2019-03-26,No
468,1,184033.04,2018-03-22,Sí
469,1,143681.64,2020-10-22,No
470,5,136228.21,2025-05-20,Sí
471,5,70688.15,2019-09-07,Sí
472,2,47105.81,2024-07-01,Sí
473,2,59571.51,2017-04-30,Sí
474,4,106066.48,2022-04-03,Sí
475,4,187634.37,2017-11-26,Sí
476,3,71083.99,2020-11-24,Sí
477,5,177667.12,2019-06-13,Sí
478,3,127962.84,2016-01-06,Sí
479,3,222505.8,2024-07-24,Sí
480,1,65899.49,2020-12-13,No
481,1,118205.6,2021-09-20,Sí
482,4,33199.54,2018-04-27,Sí
483,3,90436.75,2021-10-20,Sí
484,4,131651.31,2024-02-03,No
485,5,185857.65,2021-10-11,Sí
486,2,57538.51,2015-12-23,Sí
487,1,62342.11,2017-11-15,No
488,5,161578.68,2023-04-13,Sí
489,5,101789.87,2018-01-29,Sí
490,1,125702.77,2015-08-06,Sí
491,1,210672.37,2021-07-09,Sí
492,3,129779.99,2019-08-30,Sí
493,4,166599.85,2024-01-13,No
494,5,167626.01,2020-02-15,Sí
495,3,202866.87,2020-10-15,No
496,3,163153.48,2025-04-30,Sí
497,5,25554.36,2017-01-05,Sí
498,5,92121.52,2017-11-28,Sí
499,2,247435.88,2020-08-05,Sí
500,4,57162.47,2019-10-22,Sí
501,5,150814.98,2015-09-02,Sí
502,1,212305.75,2022-01-30,Sí
503,2,150774.05,2023-02-04,Sí
504,4,99344.86,2025-02-24,Sí
505,1,29254.86,2023-01-03,Sí
506,1,96799.58,2020-02-11,No
507,4,53696.2,2016-10-09,Sí
508,2,240607.08,2021-06-14,Sí
509,1,181607.64,2025-04-04,Sí
510,3,189851.96,2023-10-14,Sí
511,4,114632.62,2017-02-09,Sí
512,4,36391.56,2015-12-28,Sí
513,5,74011.96,2020-09-18,Sí
514,2,72330.66,2016-05-26,Sí
515,3,126827.04,2016-01-04,Sí
516,3,120635.15,2024-10-02,Sí
517,5,114017.97,2022-09-06,Sí
518,1,129034.59,2023-06-03,Sí
519,1,246885.54,2022-10-30,No
520,3,81604.87,2019-08-07,Sí
521,2,157664.6,2020-06-18,Sí
522,1,67481.86,2019-02-15,Sí
523,4,121985.5,2022-02-27,Sí
524,5,58011.82,2017-10-15,Sí
525,2,143966.14,2019-10-31,Sí
526,1,73602.83,2016-02-14,No
527,3,18829.34,2023-03-30,Sí
528,5,205665.06,2024-05-30,Sí
529,1,40781.23,2020-04-29,Sí
530,3,98329.31,2018-10-15,Sí
531,1,124522.63,2023-05-16,Sí
532,5,113795.2,2025-02-26,No
533,4,184159.78,2024-12-31,Sí
534,4,153226.38,2021-07-12,No
535,3,80889.08,2020-11-22,Sí
536,4,22408.72,2015-06-04,Sí
537,5,194222.83,2017-03-05,No
538,3,94606.51,2025-03-31,Sí
539,1,223533.94,2016-05-01,No
540,2,104813.63,2023-01-07,Sí
541,1,182238.07,2018-08-06,Sí
542,5,235495.53,2017-04-21,Sí
543,3,166276.59,2016-05-10,Sí
544,1,109237.34,2022-11-29,Sí
545,3,146175.82,2023-02-18,Sí
546,4,140426.85,2016-01-07,No
547,2,150356.81,2015-11-26,Sí
548,5,45236.8,2020-10-22,Sí
549,1,177642.37,2024-12-17,Sí
550,2,44810.39,2022-04-20,Sí
551,5,13508.05,2021-02-10,Sí
552,5,159947.22,2023-04-19,Sí
553,4,38059.26,2016-12-27,Sí
554,3,194898.79,2020-04-04,Sí
555,3,217831.83,2016-07-28,Sí
556,2,236736.83,2024-02-28,Sí
557,4,169474.47,2021-07-14,Sí
558,5,125683.57,2022-04-13,Sí
559,4,94547.46,2015-06-04,Sí
560,4,127822.02,2019-06-23,Sí
561,2,55684.53,2017-08-08,No
562,3,93621.44,2020-01-09,Sí
563,4,182303.33,2021-02-01,Sí
564,4,62181.51,2018-06-30,Sí
565,4,73376.11,2025-03-13,Sí
566,1,189838.78,2018-01-26,Sí
567,4,52680.62,2024-04-02,Sí
568,4,69013.02,2016-11-27,Sí
569,5,14211.42,2024-02-10,Sí
570,1,182812.38,2023-01-14,Sí
571,4,158296.86,2016-09-13,No
572,4,176652.51,2022-12-28,No
573,2,61438.66,2024-04-12,Sí
574,2,174970.33,2024-11-03,Sí
575,1,153130.39,2022-09-07,Sí
576,5,97869.52,2020-04-06,Sí
577,1,115078.19,2022-04-24,Sí
578,1,146300.92,2022-11-10,Sí
579,2,128390.12,2017-09-16,Sí
580,2,164038.74,2016-08-01,No
581,5,53435.1,2021-01-06,Sí
582,4,139770.39,2020-01-05,Sí
583,5,118067.08,2017-02-04,Sí
584,4,120644.92,2019-06-21,Sí
585,3,122651.69,2015-08-22,Sí
586,2,221553.27,2021-05-29,No
587,3,206470.59,2018-12-27,Sí
588,3,161096.79,2021-07-01,Sí
589,2,181956.86,2020-10-02,Sí
590,3,20272.63,2022-01-17,Sí
591,1,188558.01,2020-06-11,Sí
592,4,126679.53,2018-06-14,No
593,5,86259.42,2020-07-03,Sí
594,2,43546.47,2025-04-03,Sí
595,1,28050.11,2021-03-07,Sí
596,5,20772.56,2016-04-16,No
597,5,48831.08,2024-06-21,Sí
598,5,17234.51,2025-05-01,Sí
599,3,185834.14,2023-10-30,Sí
600,3,69667.39,2020-11-24,Sí
601,3,98497.7,2020-06-21,Sí
602,3,207451.89,2024-06-03,Sí
603,1,37517.8,2015-09-30,Sí
604,3,210542.57,2022-09-05,Sí
605,2,163489.68,2019-04-30,Sí
606,5,92087.08,2019-06-02,Sí
607,1,38273.73,2024-02-06,Sí
608,3,31958.25,2017-08-27,Sí
609,5,90523.44,2019-05-15,Sí
610,1,43682.07,2016-04-03,Sí
611,5,74250.47,2016-04-08,No
612,1,22709.39,2018-05-21,Sí
613,4,152802.02,2024-09-03,Sí
614,1,44866.27,2021-10-11,Sí
615,3,191615.76,2023-06-24,Sí
616,5,62361.99,2019-03-17,Sí
617,5,201514.38,2016-09-20,Sí
618,5,55571.68,2016-07-03,Sí
619,2,183127.98,2020-12-07,Sí
620,2,89937.92,2020-11-07,Sí
621,3,149948.8,2023-10-28,Sí
622,4,19278.84,2025-04-09,Sí
623,2,128858.66,2016-04-14,Sí
624,1,45685.09,2023-06-28,Sí
625,3,126716.85,2018-12-27,No
626,4,43926.19,2020-11-13,Sí
627,1,114901.39,2023-01-26,Sí
628,5,36549.0,2016-04-29,Sí
629,2,62788.36,2015-10-29,Sí
630,1,152818.94,2020-09-16,Sí
631,4,244398.55,2018-08-15,Sí
632,3,117804.34,2022-03-31,Sí
633,1,174921.69,2025-05-27,No
634,3,139461.92,2016-09-25,Sí
635,5,129605.9,2019-08-14,Sí
636,4,25529.01,2021-12-16,Sí
637,4,44631.38,2020-07-05,Sí
638,2,221933.86,2016-03-18,Sí
639,4,108439.44,2018-11-24,Sí
640,1,157439.79,2020-01-18,Sí
641,1,136775.98,2022-04-25,Sí
642,1,100931.77,2021-03-28,Sí
643,5,103075.97,2021-01-25,Sí
644,4,143311.6,2023-05-18,Sí
645,4,43874.03,2022-01-05,Sí
646,1,102942.17,2024-11-18,Sí
647,2,117274.14,2020-05-15,Sí
648,2,246430.29,2018-01-21,Sí
649,4,94349.14,2019-11-18,Sí
650,4,164698.94,2019-05-11,Sí
651,3,42979.72,2021-10-17,Sí
652,4,25715.53,2019-12-13,No
653,1,219170.08,2024-09-23,Sí
654,5,185376.38,2019-07-16,Sí
655,4,86199.83,2020-11-09,Sí
656,4,131098.72,2020-06-03,Sí
657,1,42578.6,2022-06-04,Sí
658,3,179718.47,2015-11-12,No
659,4,26879.34,2016-02-05,Sí
660,2,191687.93,2016-01-23,No
661,2,141240.76,2016-01-21,Sí
662,2,76924.13,2019-07-07,Sí
663,5,217017.84,2017-06-11,Sí
664,5,246657.25,2025-05-21,Sí
665,4,71043.78,2023-11-14,Sí
666,4,203499.08,2024-12-17,Sí
667,4,190039.92,2018-03-19,Sí
668,5,189325.63,2016-02-02,Sí
669,4,239736.55,2015-06-11,Sí
670,1,126788.1,2017-12-06,Sí
671,3,171800.33,2023-02-12,Sí
672,2,207730.57,2017-11-10,Sí
673,2,125088.75,2016-12-29,Sí
674,1,125543.49,2022-03-09,Sí
675,4,86477.14,2018-08-31,Sí
676,5,197398.17,2023-06-11,Sí
677,4,174686.99,2024-05-30,Sí
678,4,118273.58,2019-05-02,No
679,2,110640.8,2018-06-29,Sí
680,2,27421.51,2023-09-24,Sí
681,5,11560.28,2019-08-17,Sí
682,2,136934.55,2018-05-30,Sí
683,4,110198.28,2019-09-30,Sí
684,1,201048.82,2024-02-15,No
685,5,140236.97,2021-03-25,No
686,1,234809.45,2023-07-04,Sí
687,4,57073.79,2021-03-13,Sí
688,5,247636.08,2019-09-30,Sí
689,1,81500.61,2022-12-02,No
690,5,164181.75,2020-01-18,Sí
691,4,130444.89,2021-02-13,Sí
692,5,96298.34,2020-03-13,Sí
693,4,43434.2,2022-12-26,No
694,5,42360.2,2019-09-16,No
695,5,180761.4,2019-07-18,Sí
696,2,100633.93,2016-08-11,Sí
697,4,240711.51,2021-12-14,Sí
698,3,88155.64,2025-01-07,Sí
699,5,246045.69,2021-07-23,Sí
700,1,59301.58,2021-07-21,Sí
701,2,34675.45,2017-08-08,Sí
702,2,85016.74,2022-05-09,No
703,5,222540.35,2024-04-05,Sí
704,3,135244.47,2020-10-06,Sí
705,2,42556.03,2024-12-03,Sí
706,4,58599.77,2015-07-17,Sí
707,5,84702.56,2025-05-26,Sí
